Time,Strategy,Mean Cumulative Transaction Costs,Median Cumulative Transaction Costs
0,学習戦略,0.09151101,0.08921965
1,学習戦略,0.09151101,0.08921965
2,学習戦略,0.09151101,0.08921965
3,学習戦略,0.09151101,0.08921965
4,学習戦略,0.09151101,0.08921965
5,学習戦略,0.09151101,0.08921965
6,学習戦略,0.09151101,0.08921965
7,学習戦略,0.09151101,0.08921965
8,学習戦略,0.09151101,0.08921965
9,学習戦略,0.09151101,0.08921965
10,学習戦略,0.09151101,0.08921965
0,デルタヘッジ,0.14765939,0.14426127
1,デルタヘッジ,0.14765939,0.14426127
2,デルタヘッジ,0.14765939,0.14426127
3,デルタヘッジ,0.14765939,0.14426127
4,デルタヘッジ,0.14765939,0.14426127
5,デルタヘッジ,0.14765939,0.14426127
6,デルタヘッジ,0.14765939,0.14426127
7,デルタヘッジ,0.14765939,0.14426127
8,デルタヘッジ,0.14765939,0.14426127
9,デルタヘッジ,0.14765939,0.14426127
10,デルタヘッジ,0.14765939,0.14426127
